,Vehicle,ELECTRIC(BOV) 2022,ELECTRIC(BOV) 2021,ELECTRIC(BOV) 2020,ELECTRIC(BOV) 2019
0,ADAPTED VEHICLE,12,7,2,29
1,AGRICULTURAL TRACTOR,2,4,3,5
2,BUS,970,1171,85,467
3,E-RICKSHAW(P),133488,132399,80989,125653
4,E-RICKSHAW WITH CART(G),11400,13869,5614,4494
5,FORK LIFT,31,61,21,11
6,GOODS CARRIER,172,986,10,51
7,LUXURY CAB,22,19,16,28
9,M-CYCLE/SCOOTER,249409,125904,22965,22904
10,M-CYCLE/SCOOTER-WITH SIDE CAR,165,78,7,6
11,MOPED,13281,9297,1167,2237
12,MOTOR CAB,2070,723,982,695
13,MOTOR CAR,15912,11681,3116,679
15,MOTOR CYCLE/SCOOTER-USED FOR HIRE,2925,1818,2095,1446
17,MOTORISED CYCLE (CC > 25CC),7649,6221,1035,1132
18,OMNI BUS,3,6,4,1
20,THREE WHEELER (GOODS),5834,4513,372,423
21,THREE WHEELER (PASSENGER),4206,2632,1116,1017
22,THREE WHEELER (PERSONAL),86,32,48,30
23,TRAILER,1,1,2,2
24,CONSTRUCTION EQUIPMENT VEHICLE,0,2,2,4
